name,d,VV,VH
cn_zhangbei_r03,2019-12-12,-14.528625816012312,-27.492063128582306
cn_zhangbei_r05,2019-12-12,-14.65715426677954,-31.522476441611992
cn_zhangbei_r01,2019-12-12,-12.818766747151736,-24.629491212027716
cn_zhangbei_r06,2019-12-12,-8.594074920403331,-18.198868492728632
cn_zhangbei_r07,2019-12-12,-11.14036751628827,-22.551169187074063
cn_zhangbei_r02,2019-12-12,-14.651721488890962,-25.20766020645471
cn_zhangbei_r03,2019-12-24,-14.388331669385066,-35.77168852119128
cn_zhangbei_r05,2019-12-24,-14.991027365079429,-39.74652297744644
cn_zhangbei_r01,2019-12-24,-13.134243034113812,-31.02631361925718
cn_zhangbei_r06,2019-12-24,-8.76176464087425,-19.545614462323186
cn_zhangbei_r07,2019-12-24,-11.694151138209326,-24.544982662964014
cn_zhangbei_r02,2019-12-24,-14.46560499156993,-30.960556716646217
cn_zhangbei_r03,2020-01-05,-13.569531230776056,-24.159572675251308
cn_zhangbei_r05,2020-01-05,-14.444416844244902,-38.12548722757848
cn_zhangbei_r01,2020-01-05,-12.891513953524704,-28.57811301314943
cn_zhangbei_r06,2020-01-05,-8.591687902266896,-16.7282457093711
cn_zhangbei_r07,2020-01-05,-10.959294727584073,-18.669669128252178
cn_zhangbei_r02,2020-01-05,-14.530307585873645,-28.587252725699408
cn_zhangbei_r03,2020-01-17,-14.40618926349756,-25.232485179016653
cn_zhangbei_r05,2020-01-17,-14.691174812441508,-26.865920368251242
cn_zhangbei_r01,2020-01-17,-13.255704219341501,-24.184337415284315
cn_zhangbei_r06,2020-01-17,-8.808210837309021,-18.598766145494242
cn_zhangbei_r07,2020-01-17,-11.355382717442655,-22.3113512795379
cn_zhangbei_r02,2020-01-17,-14.686553596273969,-23.89018549874787
cn_zhangbei_r03,2020-01-29,-13.851738817659042,-24.845027528979205
cn_zhangbei_r05,2020-01-29,-14.287272019629647,-25.94803866584139
cn_zhangbei_r01,2020-01-29,-13.000374792375636,-24.129112014502354
cn_zhangbei_r06,2020-01-29,-8.694200636640415,-18.417754065529437
cn_zhangbei_r07,2020-01-29,-11.282050594712594,-21.65263488573233
cn_zhangbei_r02,2020-01-29,-14.571806716495066,-23.411330045756035
cn_zhangbei_r03,2020-02-10,-13.829525985060677,-22.399191824031227
cn_zhangbei_r05,2020-02-10,-14.564778697724991,-26.33920857555477
cn_zhangbei_r01,2020-02-10,-12.982204000350345,-23.48674004256562
cn_zhangbei_r06,2020-02-10,-8.489487251136213,-17.820934574367712
cn_zhangbei_r07,2020-02-10,-11.524705330178785,-20.98960381234477
cn_zhangbei_r02,2020-02-10,-14.420799283096327,-23.23464204707332
cn_zhangbei_r03,2020-02-22,-14.307472680376584,-24.368885831989754
cn_zhangbei_r05,2020-02-22,-15.101899201432369,-26.506171881365226
cn_zhangbei_r01,2020-02-22,-12.863318624609338,-23.62221156709241
cn_zhangbei_r06,2020-02-22,-7.658657896187358,-17.079445694045464
cn_zhangbei_r07,2020-02-22,-11.31736555322105,-21.469242336071986
cn_zhangbei_r02,2020-02-22,-14.328727651896164,-23.129740814732422
cn_zhangbei_r03,2020-03-05,-14.14649173988383,-24.224878793041118
cn_zhangbei_r05,2020-03-05,-14.923577203376693,-25.78126463497064
cn_zhangbei_r01,2020-03-05,-13.1157950801271,-23.52430146034748
cn_zhangbei_r06,2020-03-05,-8.190436607090504,-17.458207643185787
cn_zhangbei_r07,2020-03-05,-11.430036656497156,-21.501724021899985
