site_id,product_id,datetime_utc,ptype,reason,polygon,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg
nsa_utah,LC08_L1TP_038032_20170417_20170501_01_T1,2017-04-17T18:07:37.904466+00:00,all,background_too_cloudy,,,,183.0,14574.0
nsa_utah,LC08_L1TP_038032_20170604_20170616_01_T1,2017-06-04T18:07:50.033336+00:00,all,background_too_cloudy,,,,1279.0,14574.0
nsa_utah,LC08_L1TP_038032_20170706_20170716_01_T1,2017-07-06T18:07:59.711103+00:00,hall,polygon_too_cloudy,technical_strip,0.0,114.0,7187.0,14574.0
nsa_utah,LC08_L1TP_038032_20170706_20170716_01_T1,2017-07-06T18:07:59.711103+00:00,substation,polygon_too_cloudy,substation_east,0.0,15.0,7187.0,14574.0
nsa_utah,LC08_L1TP_038032_20170807_20170813_01_T1,2017-08-07T18:08:12.476869+00:00,all,background_too_cloudy,,,,0.0,14574.0
nsa_utah,LC08_L1TP_038032_20171026_20171107_01_T1,2017-10-26T18:08:30.299533+00:00,hall,polygon_too_cloudy,technical_strip,0.0,114.0,6509.0,14574.0
nsa_utah,LC08_L1TP_038032_20171026_20171107_01_T1,2017-10-26T18:08:30.299533+00:00,substation,polygon_too_cloudy,substation_east,0.0,15.0,6509.0,14574.0
nsa_utah,LC08_L1TP_038032_20171213_20171223_01_T1,2017-12-13T18:08:21.991986+00:00,all,background_too_cloudy,,,,0.0,14574.0
nsa_utah,LC08_L1TP_038032_20171229_20180103_01_T1,2017-12-29T18:08:22.033520900+00:00,hall,polygon_too_cloudy,technical_strip,42.0,114.0,13856.0,14574.0
nsa_utah,LC08_L1TP_038032_20171229_20180103_01_T1,2017-12-29T18:08:22.033520900+00:00,substation,polygon_too_cloudy,substation_east,2.0,15.0,13856.0,14574.0
nsa_utah,LC08_L1TP_038032_20180130_20180207_01_T1,2018-01-30T18:08:05.848105+00:00,all,background_too_cloudy,,,,0.0,14574.0
nsa_utah,LC08_L1TP_038032_20180215_20180307_01_T1,2018-02-15T18:08:00.335518+00:00,hall,polygon_too_cloudy,technical_strip,13.0,114.0,6034.0,14574.0
nsa_utah,LC08_L1TP_038032_20180215_20180307_01_T1,2018-02-15T18:08:00.335518+00:00,substation,polygon_too_cloudy,substation_east,0.0,15.0,6034.0,14574.0
nsa_utah,LC08_L1TP_038032_20180506_20180517_01_T1,2018-05-06T18:07:18.784186+00:00,all,background_too_cloudy,,,,2340.0,14574.0
nsa_utah,LC08_L1TP_038032_20190407_20190422_01_T1,2019-04-07T18:07:42.692180+00:00,hall,polygon_too_cloudy,technical_strip,4.0,114.0,6421.0,14574.0
nsa_utah,LC08_L1TP_038032_20190407_20190422_01_T1,2019-04-07T18:07:42.692180+00:00,substation,polygon_too_cloudy,substation_east,0.0,15.0,6421.0,14574.0
nsa_utah,LC08_L1TP_038032_20190509_20190521_01_T1,2019-05-09T18:07:42.710930900+00:00,hall,polygon_too_cloudy,technical_strip,1.0,114.0,4826.0,14574.0
nsa_utah,LC08_L1TP_038032_20200221_20200225_01_T1,2020-02-21T18:08:12.487783+00:00,all,background_too_cloudy,,,,0.0,14574.0
nsa_utah,LC08_L1TP_038032_20200308_20200314_01_T1,2020-03-08T18:08:06.701319+00:00,all,background_too_cloudy,,,,1320.0,14574.0
